sentence	label
romp that will have viewers guessing just who 's being conned right up to the finale 	1
's tough to be startled when you 're almost dozing 	0
literary detective story 	1
becomes unwatchable 	0
suspenseful enough for older kids but not too scary 	1
this junk that 's tv sitcom material at best 	0
have any trouble getting kids to eat up these veggies 	1
a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution . 	1
imponderably stilted and self-consciously arty movie 	0
's equally distasteful to watch him sing the lyrics to `` tonight 	0
that transcends culture and race 	1
fortunately , elling never gets too cloying thanks to the actors ' perfect comic timing and sweet , genuine chemistry . 	1
pleasingly upbeat 	1
over a late-inning twist that just does n't make sense 	0
of your seat , tense with suspense 	1
that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen 	1
offer some modest amusements 	1
acts light on great scares and a good surprise ending . 	1
sandra bullock and hugh grant make a great team 	1
i 've had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama . 	0
is that it progresses in such a low-key manner that it risks monotony 	0
without vulgarity , sex scenes , and cussing 	1
with some laughs and a smile 	1
a kiss 	1
charming and witty , it 's also somewhat clumsy . 	1
devoted to the insanity of black 	0
you ca n't help but feel ` stoked . ' 	1
` life affirming ' 	1
the worst films 	0
that malarkey 	0
disturbing 	0
it 's an effort to watch this movie , but 	1
soulful nuances 	1
a wild comedy that could only spring from the demented mind of the writer of being john malkovich 	0
failing 	0
is moody , oozing , chilling and heart-warming all at once 	1
convincing as this bland blank of a man with unimaginable demons 	0
illustrates the problems of fledgling democracies , but also the strength and sense of freedom the iranian people already possess , with or without access to the ballot box 	1
a deeply humanistic artist who , in spite of all that he 's witnessed , remains surprisingly idealistic 	1
original character , siuation or joke 	1
windshield 	1
even if you 've seen `` stomp '' ( the stage show ) , you still have to see this ! 	1
expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women 	1
a coherent rhythm going 	1
includes one of the strangest 	1
it 's unnerving suspense 	1
this overlong infomercial , 	0
( a ) devastatingly powerful and astonishingly vivid holocaust drama . 	1
reeked of a been-there , done-that sameness 	0
( or role , or edit , or score , or anything , really 	0
( the leads ) are such a companionable couple 	1
a beguiling evocation 	1
appeals to the storytelling instincts of a slightly more literate filmgoing audience 	1
contrived , unmotivated , and 	0
sometimes beautiful adaptation 	1
is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends . 	1
an unlimited amount of phony blood 	0
self-destructiveness 	0
to overcome my resistance 	1
fully forgotten 	0
made you love it 	1
a selection of scenes in search of a movie 	1
see the it 	0
without thrills and a mystery devoid 	0
nicholson 's understated performance is wonderful . 	1
hardly a film that comes along every day . 	1
what makes their project so interesting 	1
as a detailed personal portrait 	1
a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ... 	0
an artsploitation movie with too much exploitation and too little art 	0
just another voyeuristic spectacle 	0
have bitterly forsaken 	0
is off-putting , to say the least , not to mention inappropriate and wildly undeserved . 	0
which awards animals the respect they 	1
a florid biopic about mad queens , obsessive relationships , and rampant adultery so dull 	0
more frustrating 	0
nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he 'll go to weave a protective cocoon around his own ego 	1
driven by appealing leads 	1
the cinematic stylings of director john stockwell 	1
are rolling over in their graves 	0
nothing sticks , really , except a lingering creepiness one feels from being dragged through a sad , sordid universe of guns , drugs , avarice and damaged dreams . 	1
thirteen conversations about one thing lays out a narrative puzzle that interweaves individual stories , and , like a mobius strip , elliptically loops back to where it began . 	1
a dark-as-pitch comedy that frequently veers into corny sentimentality , probably 	0
pacing and lack 	1
the overall effect is awe and affection -- and a strange urge to get on a board and , uh , shred , dude . 	1
human nature , in short , is n't nearly as funny as it thinks it is ; 	0
very satisfying 	1
losing 	0
remains vividly in memory 	1
convincing intelligence 	1
its heartfelt concern 	1
by casting an actress whose face projects that woman 's doubts and yearnings 	1
the film was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) . 	0
if the enticing prospect of a lot of nubile young actors in a film about campus depravity did n't fade amid the deliberate , tiresome ugliness 	1
self-promotion 	0
overwhelming sadness 	1
for this sort of thing to work , we need agile performers , but the proficient , dull sorvino has no light touch , and rodan is out of his league . 	0
where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone 	0
eerily 	1
reputedly `` unfilmable '' novels 	1
that between the son and his wife , and the wife and the father , and between the two brothers , 	1
often-funny comedy 	1
real and 	1
mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema 	0
certainly wo n't be remembered as one of ( witherspoon 's ) better films . 	0
in a vibrant and intoxicating fashion 	1
horrendously 	0
often exciting 	1
, you can feel the love . 	1
the film itself is about something very interesting and odd that would probably work better as a real documentary without the insinuation of mediocre acting or a fairly trite narrative . 	0
while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds . 	1
run out of clever ideas and visual gags about halfway through 	0
the earnestness 	1
the triumph of his band 	1
300 years of russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness . 	1
as well-characterized 	0
a markedly inactive film , city is conversational bordering on confessional . 	0
academic 	1
broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car 	0
with a smile on your face and a grumble in your stomach 	1
bombastic and ultimately empty world war ii action 	1
be served an eviction notice at every theater stuck with it 	0
want to be jolted out of their gourd 	1
, implausible 	0
mildly funny , sometimes tedious , ultimately insignificant 	0
you want to slap it 	0
my only complaint 	0
the movie winds up feeling like a great missed opportunity . 	0
piercing 	1
, unlike so many other hollywood movies of its ilk , it offers hope 	0
highly uneven and inconsistent ... margarita happy hour kinda resembles the el cheapo margaritas served within . 	0
time bombs 	0
that resident evil is not it 	0
thriller junk . 	0
like a non-stop cry for attention 	0
without any passion 	0
never quite goes where you expect and often surprises you with unexpected comedy 	1
bledel 	1
but the movie 's narrative hook is way too muddled to be an effectively chilling guilty pleasure . 	0
british comedy . 	1
slight but enjoyable documentary . 	1
stitch 	0
presence to become a major-league leading lady , ( but ) 	1
thrilling movie 	1
that van wilder does little that is actually funny with the material 	0
seemed wasted like deniro 's once promising career and the once grand long beach boardwalk 	0
this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama . 	0
designed to fill time 	1
the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst . 	1
discovery and humor 	1
does all of this , and more 	1
a shame 	0
an allegedly inspiring and easily marketable flick 	1
a pretty listless collection of kid-movie clichés 	0
it 's a hoot watching the rock chomp on jumbo ants , pull an arrow out of his back , and leap unscathed through raging fire ! 	1
less of a trifle if ms. sugarman followed through on her defiance of the saccharine 	0
this story gets sillier , not scarier , as it goes along ... 	0
a time machine , a journey back to your childhood 	1
all the hearts it won -- and wins still 	1
an improvement 	1
nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness 	0
wear thin 	0
this facetious smirk 	0
the treat 	1
confident enough 	0
despite the film 's shortcomings , the stories are quietly moving . 	0
lyne 's latest , the erotic thriller unfaithful , further demonstrates just how far his storytelling skills have eroded . 	0
the movie 's contrived , lame screenplay and listless direction 	0
sex 	1
yet compelling 	0
'll derive from this choppy and sloppy affair 	0
could hardly ask for more 	1
has its merits 	1
there are great rewards here . 	0
strong directorial stamp 	1
you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over 	0
own meager weight 	0
entertained by 	1
loud , low-budget and tired formula film 	1
that tell the best story 	1
very sweet 	0
things fall apart 	0
the fluid motion is astounding on any number of levels 	1
a fairly enjoyable mixture 	1
as it is repetitious 	1
the charm of satin rouge 	1
cute factor 	0
poignancy , and intelligence 	1
carries a charge of genuine excitement 	1
what a great way to spend 4 units of your day . 	1
bright shining star 	0
takes a fresh and absorbing look 	1
there 's no energy . 	0
fuzzy 	1
extremely well acted by the four primary actors 	0
wrap the proceedings up neatly 	1
to call this film a lump of coal would only be to flatter it . 	0
his ` angels of light 	1
richer and more observant 	1
through dahmer 's two hours 	0
leaden and predictable 	0
it tends to remind one of a really solid woody allen film , with its excellent use of new york locales and sharp writing 	1
finds its moviegoing pleasures 	1
i 'm not 	0
out of character and logically porous action set 	0
the whole thing feels like a ruse , a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas . 	0
no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half 	0
much colorful 	1
easily become a cold , calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking 	1
kind , 	1
in this wildly uneven movie 	0
the brawn , but not the brains 	0
would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd 	0
is hard to dismiss -- moody , thoughtful , 	1
there 's a delightfully quirky movie to be made from curling , but 	0
this is not a classical dramatic animated feature , nor a hip , contemporary , in-jokey one . 	0
you never know where changing lanes is going to take you 	1
is well worthwhile . 	0
for large-scale action and suspense 	1
realism , crisp storytelling 	0
a movie of riveting power and sadness 	1
the film boasts at least a few good ideas and features some decent performances , 	1
( or worth rooting against , for that matter ) 	0
there 's none of the happily-ever - after spangle of monsoon wedding in late marriage -- and that 's part of what makes dover kosashvili 's outstanding feature debut so potent . 	1
is the performance of gedeck , who makes martha enormously endearing . 	1
of the ultimate scorsese film 	1
the story is too steeped in fairy tales and other childish things to appeal much to teenagers 	0
they grow up and you can wait till then 	0
does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the cotswolds . 	1
was so endlessly 	1
to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as the grey zone 	0
by the standards of knucklehead swill , the hot chick is pretty damned funny . 	1
ultimately , sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness . 	0
it seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little . 	0
as improbable as this premise may seem , abbass 's understated , shining performance offers us the sense that on some elemental level , lilia deeply wants to break free of her old life . 	1
not only better 	1
very talented young actors 	1
there is a subversive element to this disney cartoon , providing unexpected fizzability . 	1
is a matter of plumbing arrangements and mind games , of no erotic or sensuous charge . 	0
his reserved but existential poignancy 	1
cheap junk and an insult to their death-defying efforts 	0
has the charisma of a young woman who knows how to hold the screen . 	1
hard to imagine having more fun watching a documentary 	1
sweet , funny , charming , and completely delightful 	1
energy , intelligence and verve , enhanced by a surplus of vintage archive footage 	1
`` brown sugar '' admirably aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film . 	1
beautiful 	1
a balanced film 	1
slightly naughty , just-above-average off 	1
the vagueness of topical excess 	1
sense is a movie that deserves recommendation 	1
nice piece 	0
to his craft , but to his legend 	1
a watch that makes time go faster rather than 	1
shines on all the characters , as the direction is intelligently accomplished . 	1
shot in rich , shadowy black-and-white , devils chronicles 	1
reeking 	0
foundering performance 	0
a tired , unimaginative and derivative variation of that already-shallow genre . 	0
bullock 's memorable first interrogation 	0
romp of a film . 	0
an old-fashioned but emotionally stirring adventure tale of the kind they 	1
spellbinding fun and 	1
could n't find stardom if mapquest emailed him point-to-point driving directions . 	0
such message-mongering moralism 	0
the most surprising thing about this film is that they are actually releasing it into theaters . 	0
's ... worth the extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles 	1
who has been awarded mythic status in contemporary culture 	1
this fascinating experiment 	1
the proficient , dull sorvino has no light touch , and rodan is out of his league 	0
is a rare treat that shows the promise of digital filmmaking 	1
philosophers , not 	0
the heart and 	1
to scoring high for originality of plot 	1
of extremely talented musicians 	1
technical flaws 	1
watered down the version of the one before 	0
a heartfelt romance 	1
not into high-tech splatterfests 	0
is needed to live a rich and full life 	1
howard and his co-stars all give committed performances 	0
brussels 	1
that 's a lot richer than the ones hollywood action screenwriters usually come up with on their own 	1
filled with low-brow humor , gratuitous violence and a disturbing disregard 	0
captivatingly quirky hybrid 	0
the stars may be college kids , but the subject matter is as adult as you can get : 	1
best inside-show-biz 	1
numbingly dull 	0
90 punitive minutes 	0
a real writer plot 	1
to the core of what it actually means to face your fears , to be a girl in a world of boys 	1
black-and-white 	0
through a dreary tract of virtually plotless meanderings 	0
another classic 	1
is n't necessarily an admirable storyteller 	0
cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j. 	0
steven soderbergh does n't remake andrei tarkovsky 's solaris so much as distill it . 	0
'' is an intelligent flick that examines many different ideas from happiness to guilt in an intriguing bit of storytelling . 	1
delves into the passive-aggressive psychology of co-dependence and the struggle for self-esteem . 	0
we really have n't had a good cheesy b-movie playing in theaters since ... well ... since last week 's reign of fire 	1
it desperately wants to be a wacky , screwball comedy , but 	0
with impressive results 	1
feeling this movie until it veered off too far into the exxon zone , and left me behind at the station looking for a return ticket to realism 	1
those with a modicum of patience will find in these characters ' foibles a timeless and unique perspective . 	1
's a lovely , sad dance highlighted by kwan 's unique directing style . 	1
it 's more of the ` laughing at ' variety than the ` laughing with 	0
every joke is repeated at least -- 	1
a nasty aftertaste but little clear memory 	0
, big-hearted and frequently 	1
huge gap 	0
sophomore effort 	0
some cocky pseudo-intellectual kid 	0
more than their unique residences 	1
the pitch-perfect forster 	1
been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention 	0
worth seeing just for weaver and lapaglia . 	1
a huge amount of the credit for the film 's thoroughly winning tone 	1
it 's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life 	1
way to make j.k. rowling 's marvelous series into a deadly bore 	0
imagine that even very small children will be impressed by this tired retread 	1
vainly 	0
that run the gamut from cheesy to cheesier to cheesiest 	0
for their acting chops , but for their looks 	0
, i pledge allegiance to cagney and lacey . 	1
that it ca n't help but engage an audience 	1
wonderfully edited 	1
what an embarrassment . 	0
it 's a glorified sitcom , and a long , unfunny one at that . 	0
to believe in it the most 	0
with maggots crawling on a dead dog 	0
spreading a puritanical brand of christianity 	1
accompanying the stunt-hungry dimwits in a random series of collected gags , pranks , pratfalls , dares , injuries , etc. . 	0
unflattering 	0
so compellingly 	1
done , so primitive in technique 	1
juiced with enough energy and excitement 	1
woody allen can write and deliver a one liner as well as anybody . 	1
of emotional blandness 	0
should be themselves 	1
a delightful romantic comedy 	1
, maudlin and cliche-ridden 	0
a small movie with a big impact 	1
anything but frustrating , boring , and 	0
rock solid family fun out of the gates 	1
a touching reflection 	1
wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue 	0
only masochistic moviegoers need apply . 	1
squanders its beautiful women 	0
you do n't have the slightest difficulty accepting him in the role . 	0
of the people who loved the 1989 paradiso will prefer this new version 	1
perfect 	0
a much better mother-daughter tale 	1
i have a feeling that i would have liked it much more if harry & tonto never existed 	0
such a lousy way 	0
sun-drenched masterpiece 	0
desiccated 	0
sweet , funny , charming , 	1
the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves blue crush waterlogged . 	0
a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , would have a good time here . 	0
is just too original to be ignored . 	0
, the new star wars installment has n't escaped the rut dug by the last one . 	0
in its own direction 	1
finesse 	1
upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing 	0
a captivating new film . 	0
's an 88-minute highlight reel that 's 86 minutes too long . 	0
tykwer 's surface flash is n't just a poor fit with kieslowski 's lyrical pessimism 	0
new treasure 	1
, low-budget and tired 	0
a harrowing account of a psychological breakdown . 	1
is historical filmmaking without the balm of right-thinking ideology , either liberal or conservative . 	1
's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio 's animated classics 	1
many insightful moments . 	1
a tricky tightrope between being wickedly funny and just plain wicked 	1
in the director 's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . 	1
i thought i heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign . 	0
is not enough to give the film the substance it so desperately needs 	0
're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid . 	0
this so-called satire 	0
boils down to a transparently hypocritical work that feels as though it 's trying to set the women 's liberation movement back 20 years 	0
mind-numbingly awful that you hope britney wo n't do it one more time , as far as movies are concerned . 	0
just so the documentary will be over 	0
actually make a pretty good team 	1
warm your heart 	1
to a satisfying crime drama 	1
most audacious , outrageous 	1
is a good and ambitious film 	1
one of two things : unadulterated thrills or genuine laughs 	1
that reminds at every turn of elizabeth berkley 's flopping dolphin-gasm 	0
a superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' 	0
seems worse for the effort . 	0
is an intelligent , realistic portrayal of testing boundaries . 	1
a profoundly stupid affair 	0
sounds , but strikes a tone that 's alternately melancholic , hopeful and strangely funny 	1
rich promise 	0
from human impulses that grew hideously twisted 	0
more than ably 	1
any real emotional impact 	0
a good human 	1
in a way that does n't make you feel like a sucker 	0
evokes a palpable sense 	0
an extra-dry office comedy that seems twice as long as its 83 minutes 	0
talky , artificial and opaque 	0
disease 	0
another boorish movie from the i-heard-a-joke 	0
any film that does n't even in passing mention political prisoners , poverty and the boat loads of people who try to escape the country is less a documentary and more propaganda by way of a valentine sealed with a kiss . 	0
back-stabbing , inter-racial desire 	1
poor dana carvey 	0
boll uses a lot of quick cutting and blurry step-printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect . 	0
a terrific look 	1
asks the right questions at the right time in the history of our country 	1
, i hated myself in the morning . 	0
what sets ms. birot 's film apart from others in the genre 	1
the all-french cast is marveilleux . 	1
you 're not deeply touched by this movie 	0
be based on a true and historically significant story 	1
a marvel 	1
is somehow making its way instead to theaters . 	0
feel that you never want to see another car chase , explosion or gunfight again 	0
that hitchens ' obsession with kissinger is , at bottom , a sophisticated flower child 's desire to purge the world of the tooth and claw of human power 	1
funny yet dark 	1
live in them , who have carved their own comfortable niche in the world and have been kind enough to share it 	1
conduct in a low , smoky and inviting sizzle 	1
all portent and no content 	0
an awful movie that 	0
will indeed sit open-mouthed before the screen , not screaming but yawning 	0
director jon purdy 's sledgehammer sap 	0
interested in entertaining itself 	0
melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold 	1
engaging and moving portrait 	0
like life on the island 	0
oscar nomination 	1
decay 	0
off too far 	1
outrageously creative action 	1
aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats 	1
succumbs to gravity and plummets to earth 	1
can be fertile sources of humor 	0
though writer/director bart freundlich 's film ultimately becomes a simplistic story about a dysfunctional parent-child relationship , it has some special qualities and the soulful gravity of crudup 's anchoring performance . 	1
not a film for the faint of heart or conservative of spirit , but for the rest of us -- especially san francisco lovers -- 	1
exquisitely 	0
between these two marginal characters 	0
weirdness for the sake of weirdness 	0
war 's 	0
giving it thumbs down due to the endlessly repetitive scenes of embarrassment 	0
, nor are the uneven performances by the cast members , who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent . 	0
of strong voices 	1
one man 's downfall , brought about by his lack of self-awareness 	0
a strange urge to get on a board and , uh , shred , dude 	1
threadbare standbys 	0
silences 	0
a great saturday night live sketch 	1
then biting into it and finding the filling missing 	0
a tremendous , offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh 	1
that it 's inauthentic at its core 	0
the strain of its plot contrivances and 	0
squeeze the action and our emotions 	0
each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial 	0
love head-on 	1
makes for perfectly acceptable , occasionally very enjoyable children 's entertainment 	1
big fat liar is a real charmer 	1
polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way . 	1
funny no-brainer 	1
's affecting , amusing , sad and reflective . 	1
its performances are so well tuned that the film comes off winningly , even though it 's never as solid as you want it to be 	1
it 's trying to set the women 's liberation movement back 20 years 	0
sophisticated intrigue and human-scale characters 	1
backstage must-see 	1
issue you a dog-tag and an m-16 	0
the simple fact 	1
, and their personalities undergo radical changes when it suits the script 	0
leaving you with some laughs and a smile 	1
director david fincher and writer david koepp ca n't sustain it . 	0
the movie 's plot is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh . 	0
his way to becoming the american indian spike lee 	1
this low-rent -- and even lower-wit -- rip-off of the farrelly brothers ' oeuvre gets way too mushy -- and in a relatively short amount of time . 	0
as one of ( witherspoon 's ) better films 	1
it begins to drag two-thirds through , when the melodramatic aspects start to overtake the comedy 	0
gets over its own investment in conventional arrangements , 	1
're - doing-it-for - the-cash 	0
none of the pushiness and decibel volume of most contemporary comedies 	1
an astonishing voice cast ( excepting love hewitt ) , an interesting racial tension , and 	1
of no real consequence 	0
know whether it wants to be a suspenseful horror movie or a weepy melodrama . 	0
fantastic 	1
recommend 	1
is spooky and subtly in love with myth 	1
coupling disgracefully written dialogue with flailing bodily movements that substitute for acting 	0
weighted down with slow , 	0
transcends the boy-meets-girl posturing of typical love stories 	1
thoughtlessly assembled 	0
endearing and 	1
unmentionable 	0
everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage 	0
make gangster no. 1 a worthwhile moviegoing experience . 	1
ms. phoenix is completely lacking in charm and charisma , and is unable to project either esther 's initial anomie or her eventual awakening . 	0
become expert fighters 	1
most of the pitfalls you 'd expect in such a potentially sudsy set-up 	0
uneven 	0
earnest moment 	1
and cinemantic flair 	1
is essentially a subculture , with its own rules regarding love and family , governance and hierarchy 	1
comfy 	1
, it 's still a guilty pleasure to watch . 	0
it deserves to be seen everywhere . 	1
tolerate this insipid , brutally clueless film 	0
and it 's a lousy one at that . 	0
a supremely kittenish performance 	1
be called animation 	0
romantic thriller 	1
good news to anyone 	1
gets added disdain for the fact that it is nearly impossible to look at or understand . 	0
amounts to surprisingly little 	0
discloses almost nothing . 	0
should have a stirring time at this beautifully drawn movie 	1
is a shaky , uncertain film that nevertheless touches a few raw nerves . 	0
better than the phantom menace 	1
the occasional belly laugh 	1
detached 	0
the filmmakers ' eye for detail and the high standards of performance convey a strong sense of the girls ' environment . 	1
a dungpile 	0
a memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill . 	1
convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking 	0
complex , laden with plenty of baggage and tinged with tragic undertones 	1
redundant , sloppy 	0
fun and nimble 	1
come even easier . 	1
which will please eastwood 's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get his man 	1
her confidence in her material is merited 	1
educational ! 	1
an aimless hodgepodge 	1
is frittered away in middle-of-the-road blandness 	0
devos and cassel have tremendous chemistry -- 	1
her small , intelligent eyes 	0
three-hour cinema master class . 	1
in this junk that 's tv sitcom material at best 	1
a creepy , intermittently powerful study 	0
as janice , eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm . 	0
a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical 	1
this supposedly funny movie 	0
content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance . 	0
of cuban leader fidel castro 	0
pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success . 	0
's the worst movie i 've seen this summer 	0
with their super-powers , their super-simple animation and their super-dooper-adorability intact 	1
without sham the raw-nerved story 	1
lame . 	0
loses its fire midway , 	0
falters in its recycled aspects , implausibility , and sags in pace 	0
the sex , a wonderful tale of love and destiny 	1
as south park 	0
, the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy . 	0
an overstylized , puréed mélange of sex , psychology , drugs and philosophy . 	0
harsh reality 	0
maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while . 	1
to guess the order in which the kids in the house will be gored 	0
a revealing look at the collaborative process 	1
exercise in sham actor workshops and an affected malaise . 	0
beloved-major 	1
these broken characters who are trying to make their way through this tragedy 	0
are the greatest musicians of all time . 	1
to be embraced 	1
see this terrific film with your kids -- if you do n't have kids borrow some 	1
his impressively delicate range 	0
bertrand tavernier 's oft-brilliant safe conduct ( `` laissez-passer '' ) wears its heart on its sleeve 	1
, this version is raised a few notches above kiddie fantasy pablum by allen 's astringent wit . 	1
to sustain laughs 	1
a vivid , sometimes surreal , 	0
murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed 	0
desperate 	0
, i 'm not exactly sure what -- and has all the dramatic weight of a raindrop 	0
any art-house moviegoer 	0
such a tragedy 	0
the barn-burningly bad movie 	0
the worst film 	0
five screenwriters are credited with the cliché-laden screenplay ; it seems as if each watered down the version of the one before 	0
the way it skirts around any scenes that might have required genuine acting from ms. spears 	0
integrity 	1
when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve 	1
a deft pace master and stylist 	1
play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution 	1
washed out despite all of that 	0
is they have a tendency to slip into hokum 	0
a remarkable amount 	1
just utter ` uhhh , ' 	0
, we are forced to reflect that its visual imagination is breathtaking 	1
vera has created a provocative , absorbing drama that reveals the curse of a self-hatred instilled by rigid social mores . 	1
as decent drama/action flick 	1
, excruciatingly tedious 	0
of a masterpiece -- and a challenging one 	1
is an in-your-face family drama and black comedy that is filled with raw emotions conveying despair and love 	1
touching , raucously amusing 	1
a physique to match 	0
grant carries the day with impeccable comic timing , raffish charm and piercing intellect . 	0
these two literary figures , and even the times 	1
little propaganda film 	0
misfiring 	0
a cutesy romantic tale 	1
mothers 	1
a deceptively casual ode 	1
falls to the floor with a sickening thud 	0
humorous . 	1
a dazzling thing to behold -- as long as you 're wearing the somewhat cumbersome 3d goggles the theater 	1
a heroic tale 	1
the metaphors are provocative , but 	1
group articulates a flood of emotion . 	1
loose , poorly structured film 	1
fresh and absorbing look 	1
engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing 	1
's been done before 	0
with wit and originality 	0
of despair about entrapment in the maze of modern life 	1
how bad his movie is 	0
an unforgettable look at morality , family , and social expectation through the prism of that omnibus tradition called marriage . 	1
many genuine cackles 	1
sounds whiny and defensive 	0
uneasy mix 	1
predictable storyline 	0
paints a specifically urban sense of disassociation here 	1
is as consistently engaging as it is revealing 	1
girls ca n't swim represents an engaging and intimate first feature by a talented director to watch , 	1
's still quite worth 	1
instantly disposable 	0
keep getting torn away from the compelling historical tale to a less-compelling soap opera 	0
in the book-on-tape market , the film of `` the kid stays in the picture '' would be an abridged edition 	1
it lacks the detail of the book 	0
of its actors 	0
that birthday girl is the kind of quirkily appealing minor movie she might not make for a while 	1
scruffy , dopey old 	1
maintains suspense on different levels 	1
, i 'd say the film works 	1
sent back to the tailor for some major alterations 	0
swooping down on a string of exotic locales , 	1
when you 've got the wildly popular vin diesel in the equation 	1
breathes extraordinary life into the private existence of the inuit people 	1
a lot of the smaller scenes 	1
more damning 	0
the beach 	1
its exquisite acting , inventive screenplay 	1
to be released in imax format 	1
'll enjoy this movie . 	1
very compelling , sensitive 	1
if damon and affleck attempt another project greenlight , next time out they might try paying less attention to the miniseries and more attention to the film it is about . 	0
's also nice to see a movie with its heart so thoroughly , unabashedly on its sleeve 	1
the one not-so-small problem with expecting 	0
delicious dialogue 	1
be a huge cut of above the rest 	1
though it lacks the utter authority of a genre gem , there 's a certain robustness to this engaging mix of love and bloodletting . 	1
its pretensions 	0
of a future-world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized 	1
grand fart 	0
the most edgy piece 	1
of the credit for the film 's winning tone 	1
